Parameter,S1,S1_conf,ST,ST_conf
x1,0.001389,0.00428,0.001511,0.000218
x2,-0.00079,0.002106,0.000482,7.2E-05
x3,0.000556,0.002661,0.0008,0.000137
x4,0.000984,0.001062,0.000148,2.5E-05
x5,0.016475,0.014328,0.018837,0.005672
x6,0.320142,0.058166,0.446302,0.057111
x7,0.000754,0.003732,0.001888,0.000351
x8,0.407346,0.063784,0.566409,0.060524
x9,-0.000274,0.00308,0.001212,0.00017
x10,-0.000156,0.005091,0.003107,0.000457
x11,0.087731,0.028451,0.113598,0.013624
x12,-0.000928,0.001205,0.000211,4.3E-05
x13,0.000943,0.002578,0.000987,0.000119
x14,0.000368,0.002217,0.000846,0.000155
x15,0.000315,0.003597,0.001451,0.000263
x16,0.000765,0.004126,0.002208,0.000278
x17,0,0,0,0
x18,0.021454,0.015579,0.035103,0.004565
x19,-0.000357,0.005774,0.003819,0.000546
