Parameter_1 Parameter_2 S2 S2_conf
price reviewcount 0.111902 0.094269
reviewcount revpictotal 0.023624 0.100342
reviewcount posreview 0.011239 0.098282
reviewcount prodpicstotal 0.010277 0.099912
reviewcount negsentiment 0.009925 0.099739
reviewcount otheragreemean 0.0098 0.099012
reviewcount negreview 0.00972 0.099584
reviewcount possentiment 0.009696 0.098909
reviewcount sentipolarity 0.009552 0.098054
reviewcount reviewersrep 0.009227 0.099292
reviewcount answercnt 0.009186 0.103522
reviewcount ratingmosthelpful 0.008453 0.099119
price revpictotal 0.005941 0.082169
posreview negsentiment 0.005104 0.007345
posreview sentipolarity 0.005092 0.007411
posreview revpictotal 0.005067 0.007248
posreview reviewersrep 0.00502 0.007363
posreview otheragreemean 0.004962 0.007391
posreview ratingmosthelpful 0.004941 0.007383
posreview possentiment 0.004929 0.007402
posreview prodpicstotal 0.004727 0.007335
posreview answercnt 0.004272 0.00769
otheragreemean prodpicstotal 0.003261 0.002202
otheragreemean possentiment 0.003251 0.002175
otheragreemean negsentiment 0.003249 0.002142
otheragreemean revpictotal 0.003243 0.002298
otheragreemean reviewersrep 0.003239 0.002165
otheragreemean sentipolarity 0.003223 0.002181
otheragreemean ratingmosthelpful 0.003193 0.002172
merchanttype3 reviewcount 0.002576 0.002575
merchanttype3 price 0.002342 0.003075
topads price 0.002121 0.004053
merchanttype3 prodpicstotal 0.001594 0.002763
topads answercnt 0.001594 0.003597
merchanttype3 prodrating 0.001574 0.002745
merchanttype3 posreview 0.001568 0.002771
merchanttype3 possentiment 0.001558 0.002735
merchanttype3 ratingmosthelpful 0.001543 0.002747
merchanttype3 negreview 0.00154 0.002764
merchanttype3 cashback 0.001533 0.002742
merchanttype3 topads 0.001521 0.002744
merchanttype3 reviewersrep 0.001521 0.002749
merchanttype3 negsentiment 0.001493 0.002744
merchanttype3 otheragreemean 0.001491 0.002752
merchanttype3 sentipolarity 0.001488 0.002717
merchanttype2 prodrating 0.001477 0.004878
merchanttype2 negsentiment 0.001475 0.004902
topads prodrating 0.001465 0.003462
topads posreview 0.001452 0.003416
merchanttype2 sentipolarity 0.001446 0.004893
topads possentiment 0.001437 0.003453
merchanttype2 prodpicstotal 0.00143 0.004809
merchanttype2 topads 0.001425 0.004914
topads sentipolarity 0.001425 0.003434
merchanttype2 posreview 0.001424 0.004872
topads negsentiment 0.001418 0.003423
merchanttype2 otheragreemean 0.001406 0.00488
merchanttype2 cashbackval 0.001404 0.004933
merchanttype2 merchanttype3 0.001402 0.004907
topads ratingmosthelpful 0.001397 0.003426
merchanttype2 cashback 0.001388 0.0049
merchanttype2 reviewersrep 0.001388 0.004896
merchanttype2 negreview 0.00138 0.004901
merchanttype2 possentiment 0.001374 0.004901
merchanttype2 ratingmosthelpful 0.001371 0.00487
topads reviewersrep 0.001366 0.003439
topads cashback 0.001355 0.00345
topads prodpicstotal 0.001351 0.003397
topads negreview 0.00135 0.003467
topads otheragreemean 0.001339 0.00344
merchanttype2 revpictotal 0.001245 0.005216
merchanttype3 answercnt 0.001229 0.002792
negreview answercnt 0.001215 0.005031
merchanttype3 cashbackval 0.00117 0.002763
topads cashbackval 0.001124 0.003463
merchanttype3 revpictotal 0.001116 0.002875
merchanttype2 price 0.001083 0.005483
ratingmosthelpful revpictotal 0.001074 0.004356
topads revpictotal 0.001 0.003481
topads reviewcount 0.000946 0.003908
merchanttype2 answercnt 0.000889 0.005071
prodrating revpictotal 0.000868 0.004489
merchanttype2 reviewcount 0.000733 0.006424
answercnt revpictotal 0.000728 0.044066
sentipolarity revpictotal 0.000704 0.005351
sentipolarity reviewersrep 0.000676 0.005253
negreview posreview 0.000573 0.004994
sentipolarity prodpicstotal 0.000573 0.005231
negreview prodpicstotal 0.00055 0.005054
negreview sentipolarity 0.000549 0.005028
negreview possentiment 0.000538 0.005011
negreview revpictotal 0.000529 0.004841
negreview ratingmosthelpful 0.000526 0.005002
negreview otheragreemean 0.000524 0.004993
negreview reviewersrep 0.00051 0.005004
negreview negsentiment 0.00039 0.005046
negsentiment revpictotal 0.000303 0.00528
ratingmosthelpful sentipolarity 0.000206 0.00423
prodrating reviewcount 0.000187 0.004621
ratingmosthelpful reviewersrep 0.000182 0.004189
ratingmosthelpful negsentiment 0.000174 0.004181
negsentiment prodpicstotal 0.000161 0.005182
ratingmosthelpful possentiment 0.000153 0.00419
ratingmosthelpful prodpicstotal 0.000133 0.004184
possentiment revpictotal 0.000115 0.003542
possentiment negsentiment 7.2E-05 0.003527
negsentiment sentipolarity 6.6E-05 0.005192
possentiment reviewersrep 4.7E-05 0.003532
possentiment sentipolarity 4.4E-05 0.003554
reviewersrep revpictotal 0 0
reviewersrep prodpicstotal 0 0
negsentiment reviewersrep -8.1E-05 0.005186
possentiment prodpicstotal -0.000126 0.003517
prodrating answercnt -0.000147 0.004571
prodrating posreview -0.000226 0.004413
prodrating negreview -0.000244 0.004409
prodrating sentipolarity -0.000288 0.004432
answercnt possentiment -0.000292 0.043795
answercnt negsentiment -0.000322 0.043455
prodrating reviewersrep -0.000402 0.004413
prodrating otheragreemean -0.000416 0.004416
prodrating prodpicstotal -0.000439 0.004425
prodrating ratingmosthelpful -0.000451 0.004404
prodrating negsentiment -0.000451 0.004392
prodrating possentiment -0.000452 0.004453
cashback revpictotal -0.000475 0.001584
cashback answercnt -0.000502 0.001519
answercnt prodpicstotal -0.000507 0.043324
cashback prodrating -0.00056 0.001537
cashback possentiment -0.000575 0.001527
cashback sentipolarity -0.000575 0.001539
cashback otheragreemean -0.000585 0.00152
cashback reviewersrep -0.000589 0.001527
cashback negsentiment -0.000599 0.001528
cashback prodpicstotal -0.000605 0.001533
cashback posreview -0.000609 0.001519
cashback ratingmosthelpful -0.000615 0.001529
cashback negreview -0.000624 0.001528
answercnt reviewersrep -0.000659 0.043374
cashback cashbackval -0.000671 0.001525
answercnt sentipolarity -0.000697 0.043565
answercnt ratingmosthelpful -0.000794 0.043272
cashback reviewcount -0.000902 0.001465
cashback price -0.000974 0.001492
answercnt otheragreemean -0.001028 0.043134
price prodrating -0.001779 0.079808
price posreview -0.002079 0.079493
revpictotal prodpicstotal -0.003344 0.023365
price prodpicstotal -0.003646 0.081308
price negreview -0.003758 0.079716
price possentiment -0.003883 0.080403
price answercnt -0.004244 0.078314
price sentipolarity -0.004317 0.080553
price negsentiment -0.004434 0.079861
price reviewersrep -0.004493 0.079769
price ratingmosthelpful -0.004894 0.080014
price otheragreemean -0.005001 0.079948
cashbackval revpictotal -0.008922 0.018833
cashbackval answercnt -0.009546 0.017248
cashbackval posreview -0.009998 0.017579
cashbackval otheragreemean -0.010429 0.017842
cashbackval negreview -0.010577 0.01793
cashbackval sentipolarity -0.010597 0.017834
cashbackval reviewersrep -0.010597 0.017859
cashbackval negsentiment -0.010647 0.017856
cashbackval possentiment -0.010678 0.017992
cashbackval prodrating -0.010716 0.017859
cashbackval ratingmosthelpful -0.011133 0.01781
cashbackval prodpicstotal -0.011406 0.017559
cashbackval reviewcount -0.011733 0.018314
cashbackval price -0.017034 0.017947
